city_id,x,y
0,616.0691363178939,338.81645657262226
1,60.50040474310337,985.1492778282537
2,208.96461183730818,983.7746101001428
3,951.798342188674,211.6635536688365
4,572.6195297894124,391.5301981028169
5,395.3122666483416,110.49906315635883
6,683.7494854537487,355.79789782600545
7,31.316338162663214,884.1708924128449
8,993.091409375884,132.79161498084403
9,474.7630775199685,168.51255253983777
10,987.4912592323677,908.2087061828875
11,188.71919170824404,494.87145313082704
12,901.9109446171343,81.03100572459098
13,819.0162229127021,285.65266428981175
14,557.490495664419,84.2763302552899
15,484.03940874498306,316.8301216964442
16,951.3936756768516,115.13200762979147
17,50.93988024550944,558.3760825165679
18,149.68953088007476,197.11907157483654
19,114.72232494187962,144.82699340640815
20,548.6275013990826,631.5169155139818
21,998.1508754963567,920.6005352962203
22,731.0298335062724,252.69155054426017
23,175.89726953999164,517.5835912936496
24,484.62885377436584,679.9907063756337
25,568.2277996789178,295.3615782067731
26,532.1120904914711,496.60260578572377
27,872.0810307935539,876.0099212924584
28,151.42390175863164,628.096056395198
29,606.0163245156311,214.02152571915778
30,380.8935511194146,751.2442301336083
31,743.9417851931379,868.7204527737464
32,291.3952522139964,521.3385879743166
33,499.41171765706747,386.8107596466336
34,768.2570822623035,841.0544174864526
35,606.5915030920817,260.94284703710804
36,536.7066272811128,262.14906508684254
37,18.23800907353057,585.4708732891318
38,712.9703309812588,147.7732213721189
39,145.94862074823578,566.0547933687977
40,398.9292880450285,76.21118357020806
41,225.42125251066759,520.8443133089964
42,95.85131683625126,428.6670913899635
43,403.47110332410995,41.31823765566456
44,483.3910910397098,703.7487884151122
45,424.6474039720257,795.7240898161531
46,478.852887943901,440.5098453407581
47,193.4190071954155,361.0145956064279
48,871.784867871454,866.1682050612011
49,934.8929538159354,314.2581029818715
50,610.0990777950867,788.6316316224396
51,615.5231049693548,632.0159746925925
52,780.5439857109042,598.38741937944
53,290.8136457959208,568.9814901776683
54,856.4373938822051,209.9164993460868
55,874.5578938794646,655.8756036794802
56,426.22831537602246,430.0196558636051
57,495.8910258752154,871.3211664228293
58,442.3315900408905,465.61983397545845
59,659.9446634364158,934.9436796392054
60,16.684692586105164,429.26430046128297
61,459.70230098437924,326.15682425652824
62,685.4531870480678,405.5144993310154
63,418.6852273559617,714.0344239605793
64,581.0295080716847,358.7755874177166
65,825.7805375041528,829.4407194568712
66,221.09110836836055,397.5058609722496
67,26.710848079610884,385.8876450990969
68,475.1793607849643,982.4365823261164
69,805.544570383071,31.658754635704113
70,414.9246576542038,875.0241524930559
71,355.4337483551316,52.03697207081459
72,825.191531340327,837.6107155328781
73,158.12322045165428,515.5476442544707
74,676.3964062051597,286.0883376909197
75,680.8023168830912,906.1717457140588
76,483.5436873329849,939.9684213798813
77,115.90418236880407,675.9458736845244
78,458.01716157863814,883.4144256643027
79,967.3190447241806,387.5332654443805
80,328.6114264936839,851.1168911012347
81,567.0893498045838,661.9186707202281
82,101.66955301384118,330.2686680639705
83,421.3111439241132,367.6859999618789
84,565.2198304641964,300.87115050478894
85,929.1231599685659,731.0873631622256
86,512.15546528242,611.8501958723668
87,887.8417190201666,670.6410527836262
88,56.32775853888705,698.0781744784532
89,13.425866629146356,503.4938436334962
90,91.78616487580904,830.6064765232792
91,847.5229427528151,886.5399654506618
92,901.72635086966,331.14747676542436
93,722.3162916141184,578.9630431482266
94,157.20680411847889,32.82559022275955
95,32.911891451783085,949.5579694681883
96,708.2166425561982,764.2579262858444
97,418.51015984827046,52.08401755266745
98,966.6362774121741,945.607858908751
99,739.9587691735759,772.0611871165491
